"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-01T04:10:11;-6.76392333333;112.743811667;8.9;-1;142;144.2;0;49;M;692730;9252002
2023-09-01T04:10:23;-6.76429333333;112.744075;8.9;-1;142;144.2;0;49;M;692759;9251961
2023-09-01T04:10:33;-6.764625;112.744313333;8.8;-1;142;144.1;0;49;M;692785;9251925
2023-09-01T04:11:01;-6.76558666667;112.744998333;8.7;-1;142;144.4;0;49;M;692860;9251818
2023-09-01T04:11:11;-6.76591833333;112.745231667;8.6;-1;142;145;0;49;M;692886;9251781
2023-09-01T04:11:32;-6.76658166667;112.745691667;8.6;-1;141;145.4;0;49;M;692936;9251708
2023-09-01T04:12:01;-6.76756166667;112.746381667;8.5;-1;140;144.6;0;49;M;693012;9251599
2023-09-01T04:12:11;-6.76788166667;112.746611667;8.4;-1;140;144;0;49;M;693038;9251564
2023-09-01T04:12:22;-6.76823;112.746866667;8.4;-1;139;143.6;0;49;M;693066;9251525
2023-09-01T04:12:32;-6.768515;112.74708;8.4;-1;139;143;0;49;M;693089;9251493
2023-09-01T04:12:52;-6.76916833333;112.747581667;8.3;-1;139;142.1;0;49;M;693144;9251421
2023-09-01T04:13:11;-6.76975333333;112.74804;8.3;-1;138;141.5;0;49;M;693195;9251356
2023-09-01T04:13:22;-6.77008333333;112.748305;8.2;-1;138;141.2;0;49;M;693224;9251319
2023-09-01T04:13:32;-6.770355;112.748526667;8.2;-1;138;140.8;0;49;M;693248;9251289
2023-09-01T04:13:52;-6.77098;112.74904;8.2;-1;139;140.5;0;49;M;693305;9251220
2023-09-01T04:14:02;-6.77124;112.74925;8.2;-1;139;140.4;0;49;M;693328;9251191
2023-09-01T04:14:22;-6.77186;112.749756667;8.2;-1;139;140.3;0;49;M;693384;9251122
2023-09-01T04:14:32;-6.772125;112.749976667;8.2;-1;139;140.5;0;49;M;693408;9251093
2023-09-01T04:14:53;-6.77275666667;112.750496667;8.3;-1;140;140.6;0;49;M;693465;9251023
2023-09-01T04:15:22;-6.773685;112.751255;8.5;-1;140;141.3;0;49;M;693549;9250920
2023-09-01T04:15:32;-6.77397;112.751483333;8.6;-1;140;141.5;0;49;M;693574;9250888
2023-09-01T04:15:42;-6.77428666667;112.751736667;8.6;-1;140;141.4;0;49;M;693602;9250853
2023-09-01T04:15:53;-6.77464166667;112.752018333;8.8;-1;140;141.6;0;49;M;693633;9250814
2023-09-01T04:16:11;-6.77525666667;112.752511667;8.9;-1;140;141.8;0;49;M;693687;9250746
2023-09-01T04:16:22;-6.77561666667;112.7528;8.9;-1;140;141.7;0;49;M;693719;9250706
2023-09-01T04:16:32;-6.77591166667;112.753035;8.9;-1;140;141.8;0;49;M;693745;9250673
2023-09-01T04:16:43;-6.77627666667;112.75332;9;-1;141;142;0;49;M;693776;9250632
2023-09-01T04:16:53;-6.77661166667;112.753585;9;-1;141;142.1;0;49;M;693805;9250595
2023-09-01T04:17:11;-6.77724833333;112.754073333;9.1;-1;141;142.3;0;49;M;693859;9250525
2023-09-01T04:17:22;-6.77762333333;112.754368333;9.2;-1;141;142.2;0;49;M;693891;9250483
2023-09-01T04:17:32;-6.77793;112.754606667;9.2;-1;140;142.1;0;49;M;693917;9250449
2023-09-01T04:17:43;-6.778305;112.754898333;9.2;-1;140;142;0;49;M;693950;9250407
2023-09-01T04:17:53;-6.77865166667;112.75517;9.2;-1;140;141.9;0;49;M;693979;9250369
2023-09-01T04:18:11;-6.779315;112.755685;9.3;-1;140;142;0;49;M;694036;9250295
2023-09-01T04:18:22;-6.779695;112.755976667;9.3;-1;141;141.8;0;49;M;694068;9250253
2023-09-01T04:18:32;-6.78000833333;112.756216667;9.4;-1;141;142.2;0;49;M;694095;9250219
2023-09-01T04:18:43;-6.78039166667;112.756511667;9.4;-1;141;142.3;0;49;M;694127;9250176
2023-09-01T04:19:02;-6.78105666667;112.757028333;9.5;-1;140;142.1;0;49;M;694184;9250102
2023-09-01T04:19:32;-6.782105;112.757846667;9.5;-1;140;142.1;0;49;M;694274;9249986
2023-09-01T04:19:43;-6.78249833333;112.758155;9.5;-1;140;142;0;49;M;694308;9249942
2023-09-01T04:20:02;-6.783175;112.758685;9.6;-1;140;142.2;0;49;M;694366;9249867
2023-09-01T04:20:32;-6.78423333333;112.759498333;9.6;-1;140;141.9;0;49;M;694456;9249750
2023-09-01T04:20:43;-6.78463166667;112.75981;9.6;-1;140;141.8;0;49;M;694490;9249706
2023-09-01T04:21:02;-6.78534666667;112.760368333;9.7;-1;140;141.7;0;49;M;694551;9249627
2023-09-01T04:21:12;-6.78570333333;112.760646667;9.7;-1;140;141.7;0;49;M;694582;9249587
2023-09-01T04:21:32;-6.78638333333;112.761178333;9.6;-1;140;141.9;0;49;M;694641;9249512
2023-09-01T04:22:02;-6.78745666667;112.762033333;9.4;-1;140;141.8;0;49;M;694735;9249392
2023-09-01T04:22:12;-6.78780333333;112.762305;9.3;-1;140;141.7;0;49;M;694765;9249354
2023-09-01T04:22:32;-6.78849;112.762843333;9.2;-1;140;142;0;49;M;694824;9249278
2023-09-01T04:22:43;-6.78882333333;112.7631;9.2;-1;140;141.4;0;49;M;694852;9249241
2023-09-01T04:23:02;-6.78948;112.763628333;9;-1;140;141.1;0;49;M;694910;9249168
2023-09-01T04:23:12;-6.789815;112.763891667;8.9;-1;140;142;0;49;M;694939;9249131
2023-09-01T04:23:32;-6.79044666667;112.764406667;8.6;-1;140;140.4;0;49;M;694996;9249061
2023-09-01T04:23:43;-6.79075666667;112.76467;8.5;-1;140;140.6;0;49;M;695025;9249026
2023-09-01T04:24:02;-6.791375;112.765153333;8.4;-1;140;141.5;0;49;M;695078;9248958
2023-09-01T04:24:12;-6.79167833333;112.765391667;8.3;-1;140;141.8;0;49;M;695104;9248924
2023-09-01T04:24:32;-6.79227333333;112.76586;8.1;-1;140;141.4;0;49;M;695156;9248858
2023-09-01T04:24:43;-6.79256333333;112.766095;8;-1;140;141.1;0;49;M;695182;9248826
2023-09-01T04:25:12;-6.79342833333;112.766785;7.8;-1;140;141.4;0;49;M;695258;9248730
2023-09-01T04:25:32;-6.79399;112.76723;7.6;-1;139;141.5;0;49;M;695307;9248668
2023-09-01T04:25:43;-6.79426666667;112.767451667;7.6;-1;139;141.4;0;49;M;695331;9248637
2023-09-01T04:26:02;-6.79481333333;112.767898333;7.5;-1;140;141;0;49;M;695380;9248576
2023-09-01T04:26:12;-6.79505666667;112.768095;7.4;-1;140;141.2;0;49;M;695402;9248550
2023-09-01T04:26:32;-6.79562666667;112.76854;7.3;-1;139;142;0;49;M;695451;9248486
2023-09-01T04:27:02;-6.79642833333;112.769185;7.1;-1;140;141.2;0;49;M;695522;9248397
2023-09-01T04:27:12;-6.79666166667;112.769366667;7;-1;140;141.7;0;49;M;695542;9248371
2023-09-01T04:27:31;-6.79719666667;112.769783333;7;-1;139;142.4;0;49;M;695588;9248312
2023-09-01T04:27:43;-6.79746833333;112.770008333;6.9;-1;139;140.9;0;49;M;695612;9248282
2023-09-01T04:28:02;-6.79793333333;112.770395;6.8;-1;140;140.5;0;49;M;695655;9248230
2023-09-01T04:28:12;-6.79818666667;112.770595;6.8;-1;140;141.8;0;49;M;695677;9248202
2023-09-01T04:28:31;-6.79868666667;112.770975;6.6;-1;139;142.6;0;49;M;695719;9248147
2023-09-01T04:28:42;-6.79892166667;112.771165;6.6;-1;139;141.3;0;49;M;695740;9248121
2023-09-01T04:28:52;-6.79918;112.771378333;6.5;-1;139;140.4;0;49;M;695763;9248092
2023-09-01T04:29:02;-6.799395;112.77156;6.5;-1;140;140;0;49;M;695783;9248068
2023-09-01T04:29:12;-6.79963666667;112.771751667;6.5;-1;140;141.3;0;49;M;695804;9248041
2023-09-01T04:29:42;-6.80034833333;112.772318333;6.4;-1;140;141.9;0;49;M;695866;9247963
2023-09-01T04:29:52;-6.800605;112.772516667;6.3;-1;140;142.1;0;49;M;695888;9247934
2023-09-01T04:30:02;-6.80081666667;112.772688333;6.3;-1;140;141.6;0;49;M;695907;9247911
2023-09-01T04:30:12;-6.80105;112.772878333;6.3;-1;140;141.3;0;49;M;695928;9247885
2023-09-01T04:30:31;-6.80150333333;112.773233333;6.2;-1;140;141.8;0;49;M;695967;9247834
2023-09-01T04:30:42;-6.80173666667;112.773411667;6.2;-1;140;142.2;0;49;M;695987;9247809
2023-09-01T04:31:02;-6.802185;112.77376;6.1;-1;140;142.6;0;49;M;696025;9247759
2023-09-01T04:31:12;-6.80240833333;112.773936667;6.1;-1;140;141.7;0;49;M;696045;9247734
2023-09-01T04:31:22;-6.802655;112.774128333;6.1;-1;140;142.2;0;49;M;696066;9247707
2023-09-01T04:31:42;-6.80307666667;112.774465;6;-1;140;141.6;0;49;M;696103;9247660
2023-09-01T04:32:02;-6.80351;112.77482;5.9;-1;140;141.1;0;49;M;696142;9247612
2023-09-01T04:32:22;-6.80397333333;112.775181667;5.9;-1;140;142.8;0;49;M;696182;9247560
2023-09-01T04:33:11;-6.805045;112.77602;5.8;-1;140;142.4;0;49;M;696274;9247442
2023-09-01T04:33:22;-6.80528333333;112.776195;5.8;-1;140;143.4;0;49;M;696293;9247415
2023-09-01T04:33:42;-6.80568666667;112.776506667;5.7;-1;139;141.5;0;49;M;696327;9247370
2023-09-01T04:34:11;-6.80631833333;112.777005;5.7;-1;140;142.2;0;49;M;696382;9247300
2023-09-01T04:34:42;-6.806945;112.777496667;5.6;-1;140;141.4;0;49;M;696436;9247231
2023-09-01T04:35:02;-6.80736166667;112.777826667;5.6;-1;140;141.5;0;49;M;696473;9247185
2023-09-01T04:35:22;-6.8078;112.778163333;5.6;-1;140;142;0;49;M;696510;9247136
2023-09-01T04:35:32;-6.808005;112.77832;5.6;-1;140;141.9;0;49;M;696527;9247113
2023-09-01T04:35:42;-6.80819166667;112.778463333;5.6;-1;140;142.4;0;49;M;696543;9247093
2023-09-01T04:36:01;-6.80860166667;112.778778333;5.5;-1;140;142.6;0;49;M;696577;9247047
2023-09-01T04:36:11;-6.80880666667;112.77894;5.5;-1;140;143;0;49;M;696595;9247024
2023-09-01T04:36:22;-6.809035;112.77911;5.5;-1;140;142.9;0;49;M;696614;9246999
2023-09-01T04:36:32;-6.809235;112.779266667;5.5;-1;139;142.9;0;49;M;696631;9246977
2023-09-01T04:36:51;-6.80961833333;112.77957;5.4;-1;139;141.7;0;49;M;696664;9246934
2023-09-01T04:37:01;-6.80982;112.77973;5.4;-1;140;141.5;0;49;M;696682;9246912
2023-09-01T04:37:11;-6.81002166667;112.779886667;5.4;-1;140;142.2;0;49;M;696699;9246890
2023-09-01T04:38:11;-6.81124;112.780776667;5.2;-1;135;140.8;0;49;M;696797;9246755
2023-09-01T04:39:23;-6.81254;112.781926667;5.2;-1;135;137.8;0;49;M;696924;9246610
2023-09-01T04:39:51;-6.81306;112.782396667;5.1;-1;134;137.9;0;49;M;696975;9246553
2023-09-01T04:41:32;-6.814805;112.78402;5;-1;135;136.1;0;49;M;697154;9246359
2023-09-01T04:42:01;-6.81532;112.784503333;5;-1;135;136.8;0;49;M;697207;9246302
2023-09-01T04:42:32;-6.815845;112.784991667;5;-1;135;136.9;0;49;M;697261;9246243
2023-09-01T04:42:53;-6.8162;112.785338333;5;-1;135;135.7;0;49;M;697299;9246204
2023-09-01T04:43:12;-6.816545;112.785655;5;-1;135;137.7;0;49;M;697334;9246166
2023-09-01T04:47:12;-6.82015;112.78899;3.8;-1;135;137.9;0;49;M;697701;9245766
2023-09-01T04:48:02;-6.82080833333;112.78958;3.6;-1;135;139.1;0;49;M;697766;9245693
2023-09-01T04:48:13;-6.82095;112.789706667;3.6;-1;135;138.8;0;49;M;697780;9245677
2023-09-01T04:48:23;-6.82106166667;112.789806667;3.6;-1;135;138.7;0;49;M;697791;9245665
2023-09-01T04:49:13;-6.82168;112.790351667;3.4;-1;135;138.9;0;49;M;697851;9245596
2023-09-01T04:49:23;-6.821805;112.790453333;3.4;-1;135;139.5;0;49;M;697862;9245582
2023-09-01T04:51:02;-6.82293833333;112.791433333;3;-1;135;138.7;0;49;M;697970;9245456
2023-09-01T04:53:42;-6.82458166667;112.792846667;2.5;-1;135;139.5;0;49;M;698126;9245274
2023-09-01T04:53:53;-6.82468;112.792928333;2.5;-1;135;138.8;0;49;M;698135;9245263
2023-09-01T04:56:32;-6.82548666667;112.793681667;0.5;-1;144;129.9;0;49;M;698218;9245174
2023-09-01T04:56:53;-6.82552;112.79372;0.4;-1;145;131.5;0;49;M;698222;9245170
2023-09-01T04:57:22;-6.82555166667;112.793756667;0.2;-1;147;134.5;0;49;M;698226;9245166
2023-09-01T04:57:32;-6.82556;112.793765;0.2;-1;148;136.3;0;49;M;698227;9245165
2023-09-01T04:59:33;-6.825695;112.793803333;0.2;-1;153;178.5;0;49;M;698231;9245150
2023-09-01T05:02:33;-6.82591333333;112.793663333;0.3;-1;153;229.9;0;49;M;698216;9245126
2023-09-01T05:04:33;-6.82603333333;112.793463333;0.4;-1;150;243.6;0;49;M;698193;9245113
2023-09-01T05:05:22;-6.82608;112.793356667;0.4;-1;149;247.1;0;49;M;698182;9245108
2023-09-01T05:05:33;-6.82609333333;112.793333333;0.4;-1;149;248;0;49;M;698179;9245107
2023-09-01T05:05:52;-6.82611166667;112.793283333;0.5;-1;148;248.7;0;49;M;698174;9245105
2023-09-01T05:06:12;-6.82612333333;112.793228333;0.5;-1;146;249.7;0;49;M;698167;9245103
2023-09-01T05:06:23;-6.826135;112.793198333;0.5;-1;146;250.2;0;49;M;698164;9245102
2023-09-01T05:06:33;-6.82614166667;112.793175;0.5;-1;145;250.3;0;49;M;698162;9245101
2023-09-01T05:09:42;-6.82628166667;112.792681667;0.5;-1;137;260.1;0;49;M;698107;9245086
2023-09-01T05:12:52;-6.82630666667;112.792193333;0.5;-1;135;267.1;0;49;M;698053;9245083
2023-09-01T05:13:42;-6.82631833333;112.792068333;0.5;-1;134;263.6;0;49;M;698039;9245082
2023-09-01T05:13:52;-6.82632166667;112.79204;0.5;-1;133;262.2;0;49;M;698036;9245082
2023-09-01T05:14:12;-6.82634166667;112.791991667;0.5;-1;132;256.5;0;49;M;698031;9245080
2023-09-01T05:16:12;-6.82655833333;112.791761667;0.5;-1;117;208.2;0;49;M;698005;9245056
2023-09-01T05:19:15;-6.82690166667;112.79179;0.2;-1;100;145;0;49;M;698008;9245018
2023-09-01T05:25:13;-6.827;112.7921;0.1;-1;99;118.8;0;49;M;698042;9245007
2023-09-01T05:37:12;-6.82664666667;112.792005;0.2;-1;108;319;0;49;M;698032;9245046
2023-09-01T05:46:10;-6.82645;112.791926667;0.1;-1;120;315.1;0;49;M;698023;9245068
2023-09-01T05:49:13;-6.82652666667;112.792065;0.1;-1;121;315.1;0;49;M;698039;9245059
2023-09-01T05:55:13;-6.82665166667;112.79214;0;-1;121;315.1;0;49;M;698047;9245045
2023-09-01T05:58:15;-6.82665333333;112.792113333;0;-1;120;315.1;0;49;M;698044;9245045
2023-09-01T06:01:14;-6.82666166667;112.792016667;0.1;-1;117;315.1;0;49;M;698033;9245044
2023-09-01T06:04:15;-6.82661333333;112.791911667;0.1;-1;115;315.1;0;49;M;698022;9245050
2023-09-01T06:10:14;-6.82642333333;112.791885;0.1;-1;116;315.1;0;49;M;698019;9245071
2023-09-01T06:13:16;-6.82635;112.792013333;0.1;-1;120;315.1;0;49;M;698033;9245079
2023-09-01T06:16:13;-6.82629;112.792138333;0.1;-1;126;315.1;0;49;M;698047;9245085
2023-09-01T06:19:10;-6.82628666667;112.79218;0;-1;129;315.1;0;49;M;698052;9245086
2023-09-01T06:19:11;-6.82628666667;112.79218;0;-1;129;315.1;0;49;M;698052;9245086
2023-09-01T06:22:15;-6.82626333333;112.792163333;0;-1;129;315.1;0;49;M;698050;9245088
2023-09-01T06:25:14;-6.82631666667;112.792073333;0.1;-1;126;315.1;0;49;M;698040;9245082
2023-09-01T06:28:14;-6.82637666667;112.791976667;0.1;-1;120;315.1;0;49;M;698029;9245076
2023-09-01T06:34:13;-6.82643833333;112.79196;0;-1;115;315.1;0;49;M;698027;9245069
2023-09-01T06:40:15;-6.82641;112.792078333;0;-1;117;315.1;0;49;M;698040;9245072
2023-09-01T06:43:14;-6.82632833333;112.792138333;0;-1;119;315.1;0;49;M;698047;9245081
2023-09-01T06:46:14;-6.82623666667;112.792161667;0.1;-1;120;315.1;0;49;M;698050;9245091
2023-09-01T06:49:10;-6.82616;112.792188333;0;-1;123;315.1;0;49;M;698052;9245100
2023-09-01T06:52:11;-6.82606333333;112.792205;0.1;-1;127;315.1;0;49;M;698054;9245110
2023-09-01T06:55:13;-6.82601833333;112.792241667;0;-1;132;315.1;0;49;M;698058;9245115
2023-09-01T07:04:18;-6.82617;112.79214;0.1;-1;129;315.1;0;49;M;698047;9245099
2023-09-01T07:07:14;-6.82625166667;112.792103333;0.1;-1;122;315.1;0;49;M;698043;9245090
2023-09-01T07:10:17;-6.82632666667;112.79214;0;-1;120;315.1;0;49;M;698047;9245081
2023-09-01T07:13:14;-6.82631833333;112.79217;0;-1;122;315.1;0;49;M;698050;9245082
2023-09-01T07:16:15;-6.82629333333;112.792223333;0;-1;124;315.1;0;49;M;698056;9245085
2023-09-01T07:16:16;-6.82629333333;112.792223333;0;-1;124;315.1;0;49;M;698056;9245085
2023-09-01T07:19:14;-6.826225;112.792248333;0;-1;128;315.1;0;49;M;698059;9245093
2023-09-01T07:22:15;-6.826185;112.792265;0;-1;131;315.1;0;49;M;698061;9245097
2023-09-01T07:25:41;-6.826165;112.792248333;0;-1;133;315.1;0;49;M;698059;9245099
2023-09-01T07:31:11;-6.82619;112.792091667;0.1;-1;130;315.1;0;49;M;698042;9245096
2023-09-01T07:34:18;-6.826285;112.792055;0.1;-1;126;315.1;0;49;M;698038;9245086
2023-09-01T07:37:14;-6.82638166667;112.792021667;0.1;-1;124;315.1;0;49;M;698034;9245075
2023-09-01T07:40:16;-6.82649166667;112.79201;0.1;-1;121;315.1;0;49;M;698033;9245063
2023-09-01T07:43:14;-6.82658166667;112.791998333;0;-1;119;315.1;0;49;M;698031;9245053
2023-09-01T07:46:18;-6.82665333333;112.791953333;0;-1;117;315.1;0;49;M;698026;9245045
2023-09-01T08:01:15;-6.82685166667;112.791875;0;-1;107;315.1;0;49;M;698018;9245023
2023-09-01T08:10:15;-6.8266;112.791953333;0;-1;115;315.1;0;49;M;698026;9245051
2023-09-01T08:13:13;-6.826545;112.791968333;0;-1;118;315.1;0;49;M;698028;9245057
2023-09-01T08:16:11;-6.82654333333;112.79197;0;-1;119;315.1;0;49;M;698028;9245057
2023-09-01T08:25:15;-6.82685833333;112.791928333;0.1;-1;110;315.1;0;49;M;698023;9245023
2023-09-01T08:28:15;-6.82698;112.791923333;0.1;-1;107;315.1;0;49;M;698023;9245009
2023-09-01T08:31:17;-6.82708333333;112.791916667;0.1;-1;104;315.1;0;49;M;698022;9244998
2023-09-01T08:37:18;-6.827275;112.791918333;0;-1;98;315.1;0;49;M;698022;9244977
2023-09-01T08:40:17;-6.82735166667;112.79191;0;-1;95;315.1;0;49;M;698021;9244968
2023-09-01T08:43:19;-6.827395;112.79188;0;-1;93;315.1;0;49;M;698018;9244963
2023-09-01T08:46:18;-6.82739666667;112.791851667;0;-1;92;315.1;0;49;M;698015;9244963
2023-09-01T08:52:17;-6.827345;112.79186;0;-1;96;315.1;0;49;M;698016;9244969
2023-09-01T08:55:19;-6.82730833333;112.791836667;0;-1;97;315.1;0;49;M;698013;9244973
2023-09-01T08:58:17;-6.827305;112.791855;0;-1;97;315.1;0;49;M;698015;9244973
2023-09-01T09:01:19;-6.82730166667;112.791855;0;-1;97;315.1;0;49;M;698015;9244974
2023-09-01T09:04:17;-6.82726333333;112.79186;0;-1;98;315.1;0;49;M;698016;9244978
2023-09-01T09:07:19;-6.82722666667;112.79187;0;-1;100;315.1;0;49;M;698017;9244982
2023-09-01T09:10:18;-6.827205;112.791846667;0;-1;101;315.1;0;49;M;698014;9244984
2023-09-01T09:13:19;-6.82723;112.791845;0;-1;99;315.1;0;49;M;698014;9244982
2023-09-01T09:22:18;-6.82733833333;112.79182;0;-1;96;315.1;0;49;M;698011;9244970
2023-09-01T09:25:17;-6.82736666667;112.791831667;0;-1;95;315.1;0;49;M;698013;9244966
2023-09-01T09:28:19;-6.827425;112.791823333;0;-1;92;315.1;0;49;M;698012;9244960
2023-09-01T09:31:17;-6.82746833333;112.791833333;0;-1;90;315.1;0;49;M;698013;9244955
2023-09-01T09:34:19;-6.827505;112.791835;0;-1;89;315.1;0;49;M;698013;9244951
2023-09-01T09:43:15;-6.82761166667;112.79188;0;-1;87;315.1;0;49;M;698018;9244939
2023-09-01T09:55:16;-6.827555;112.792013333;0;-1;88;315.1;0;49;M;698033;9244946
2023-09-01T09:58:17;-6.82753833333;112.791971667;0;-1;88;315.1;0;49;M;698028;9244947
2023-09-01T10:01:12;-6.82756333333;112.79201;0;-1;87;315.1;0;49;M;698032;9244945
2023-09-01T10:04:16;-6.82758666667;112.791986667;0;-1;85;315.1;0;49;M;698030;9244942
2023-09-01T10:13:14;-6.82764833333;112.791931667;0;-1;83;315.1;0;49;M;698024;9244935
2023-09-01T10:19:14;-6.82776166667;112.791926667;0;-1;80;315.1;0;49;M;698023;9244923
2023-09-01T10:40:15;-6.82797166667;112.792156667;0;-1;68;315.1;0;49;M;698048;9244899
2023-09-01T10:55:20;-6.82841333333;112.7925;0.1;-1;43;315.1;0;49;M;698086;9244850
2023-09-01T11:07:21;-6.828815;112.792873333;0.1;-1;23;140.4;0;49;M;698127;9244806
2023-09-01T11:10:18;-6.82886666667;112.792973333;0.1;-1;19;140.4;0;49;M;698138;9244800
2023-09-01T11:13:22;-6.82892833333;112.79309;0.1;-1;15;140.4;0;49;M;698151;9244793
2023-09-01T11:16:17;-6.82893;112.793166667;0;-1;13;140.4;0;49;M;698160;9244793
2023-09-01T11:19:21;-6.828935;112.793241667;0;-1;11;140.4;0;49;M;698168;9244792
2023-09-01T11:25:19;-6.82894833333;112.793216667;0;-1;11;140.4;0;49;M;698165;9244791
2023-09-01T11:25:20;-6.82894833333;112.793216667;0;-1;11;140.4;0;49;M;698165;9244791
2023-09-01T11:28:18;-6.82896166667;112.793148333;0.1;-1;12;140.4;0;49;M;698157;9244789
2023-09-01T11:31:20;-6.82892333333;112.793025;0.1;-1;18;140.4;0;49;M;698144;9244794
2023-09-01T11:34:16;-6.82886833333;112.79286;0.2;-1;24;287.7;0;49;M;698126;9244800
2023-09-01T11:34:17;-6.82886833333;112.79286;0.2;-1;24;287.7;0;49;M;698126;9244800
2023-09-01T11:40:15;-6.82873166667;112.792621667;0.1;-1;34;287.9;0;49;M;698099;9244815
2023-09-01T11:43:14;-6.82867666667;112.79248;0.1;-1;39;287.9;0;49;M;698084;9244821
2023-09-01T11:49:15;-6.82849833333;112.792305;0.1;-1;48;287.9;0;49;M;698064;9244841
2023-09-01T12:04:15;-6.828185;112.792193333;0;-1;56;287.9;0;49;M;698052;9244876
2023-09-01T12:10:18;-6.828115;112.792155;0;-1;57;287.9;0;49;M;698048;9244884
2023-09-01T12:19:19;-6.82806833333;112.79209;0;-1;62;287.9;0;49;M;698041;9244889
2023-09-01T12:22:16;-6.82807333333;112.792065;0;-1;62;287.9;0;49;M;698038;9244888
2023-09-01T12:25:19;-6.82808;112.792061667;0;-1;63;287.9;0;49;M;698038;9244887
2023-09-01T12:28:17;-6.82808166667;112.792053333;0;-1;63;287.9;0;49;M;698037;9244887
2023-09-01T12:31:17;-6.82809;112.792008333;0;-1;64;287.9;0;49;M;698032;9244886
2023-09-01T12:34:17;-6.82809833333;112.79203;0;-1;64;287.9;0;49;M;698034;9244885
2023-09-01T12:40:15;-6.828055;112.792011667;0;-1;65;287.9;0;49;M;698032;9244890
2023-09-01T12:46:15;-6.82802333333;112.792061667;0;-1;65;287.9;0;49;M;698038;9244894
2023-09-01T12:49:17;-6.82804333333;112.792046667;0;-1;64;287.9;0;49;M;698036;9244891
2023-09-01T13:04:16;-6.82811666667;112.792095;0;-1;62;287.9;0;49;M;698041;9244883
2023-09-01T13:07:17;-6.82815;112.792073333;0;-1;62;287.9;0;49;M;698039;9244880
2023-09-01T13:10:15;-6.828175;112.79208;0;-1;61;287.9;0;49;M;698040;9244877
2023-09-01T13:16:17;-6.828225;112.7921;0;-1;59;287.9;0;49;M;698042;9244871
2023-09-01T13:58:21;-6.82819333333;112.792088333;0;-1;65;287.9;0;49;M;698041;9244875
2023-09-01T14:16:16;-6.82845666667;112.79217;0;-1;55;287.9;0;49;M;698050;9244846
2023-09-01T14:19:15;-6.82850166667;112.792185;0;-1;54;287.9;0;49;M;698051;9244841
2023-09-01T14:28:15;-6.82854166667;112.792286667;0;-1;51;287.9;0;49;M;698062;9244836
2023-09-01T14:37:16;-6.82860666667;112.792315;0;-1;51;287.9;0;49;M;698065;9244829
2023-09-01T14:40:16;-6.82862833333;112.792345;0;-1;50;287.9;0;49;M;698069;9244827
2023-09-01T14:49:17;-6.82873833333;112.792383333;0;-1;45;287.9;0;49;M;698073;9244814
2023-09-01T14:52:17;-6.82868833333;112.792351667;0;-1;45;287.9;0;49;M;698070;9244820
2023-09-01T14:55:17;-6.82862333333;112.792253333;0.1;-1;47;287.9;0;49;M;698059;9244827
2023-09-01T15:19:18;-6.82808;112.791916667;0;-1;70;323.8;0;49;M;698022;9244887
2023-09-01T15:25:19;-6.828145;112.791953333;0;-1;69;323.8;0;49;M;698026;9244880
2023-09-01T15:28:20;-6.82820666667;112.791991667;0;-1;67;323.8;0;49;M;698030;9244873
2023-09-01T15:34:20;-6.82828666667;112.792028333;0;-1;63;323.8;0;49;M;698034;9244865
2023-09-01T15:37:13;-6.82832666667;112.792051667;0;-1;62;323.8;0;49;M;698036;9244860
2023-09-01T15:40:20;-6.82834666667;112.792061667;0;-1;62;323.8;0;49;M;698038;9244858
2023-09-01T15:43:15;-6.82837;112.792056667;0;-1;62;323.8;0;49;M;698037;9244855
2023-09-01T15:49:16;-6.82834166667;112.792095;0;-1;61;323.8;0;49;M;698041;9244858
2023-09-01T15:52:20;-6.828335;112.792078333;0;-1;61;323.8;0;49;M;698039;9244859
2023-09-01T15:58:19;-6.82831666667;112.792055;0;-1;63;323.8;0;49;M;698037;9244861
2023-09-01T16:01:16;-6.82831166667;112.792005;0;-1;65;323.8;0;49;M;698031;9244862
2023-09-01T16:10:17;-6.82828666667;112.791995;0;-1;63;323.8;0;49;M;698030;9244865
2023-09-01T16:16:17;-6.82818333333;112.791905;0;-1;69;323.8;0;49;M;698020;9244876
2023-09-01T16:46:17;-6.82817166667;112.791895;0;-1;70;323.8;0;49;M;698019;9244877
2023-09-01T16:49:15;-6.828165;112.791863333;0;-1;70;323.8;0;49;M;698016;9244878
2023-09-01T17:16:19;-6.82826166667;112.791885;0;-1;70;323.8;0;49;M;698018;9244867
2023-09-01T17:34:19;-6.82832166667;112.791895;0;-1;70;323.8;0;49;M;698019;9244861
2023-09-01T17:37:17;-6.82838666667;112.791886667;0;-1;65;323.8;0;49;M;698018;9244854
2023-09-01T17:40:19;-6.82841;112.791865;0;-1;63;323.8;0;49;M;698016;9244851
2023-09-01T17:49:17;-6.828335;112.79186;0;-1;68;323.8;0;49;M;698015;9244859
2023-09-01T17:52:21;-6.82836833333;112.79183;0;-1;65;323.8;0;49;M;698012;9244856
2023-09-01T18:28:14;-6.82832333333;112.79183;0;-1;67;323.8;0;49;M;698012;9244861
2023-09-01T18:58:18;-6.828375;112.791856667;0;-1;66;323.8;0;49;M;698015;9244855
