"timestamp";"lat [deg]";"lon [deg]";"sog [kn]";"draught [m]";"heading [deg]";"cog [deg]";"rot [deg/min]";"zone  [UTM]";"band  [UTM]";"easting [UTM]";"northing [UTM]"
2023-09-02T20:19:27;-7.11626166667;112.65691;4.5;-1;511;177;-128;49;M;682986;9213070
2023-09-02T20:22:28;-7.11996333333;112.657128333;4.4;-1;511;176.1;-128;49;M;683009;9212661
2023-09-02T20:22:36;-7.120165;112.65714;4.4;-1;511;176;-128;49;M;683010;9212639
2023-09-02T20:46:57;-7.14625;112.662906667;3.1;-1;511;154.8;-128;49;M;683637;9209752
2023-09-02T20:47:36;-7.146725;112.663183333;3.1;-1;511;149.7;-128;49;M;683667;9209699
2023-09-02T20:47:47;-7.14686166667;112.663276667;3.1;-1;511;150.1;-128;49;M;683677;9209684
2023-09-02T20:47:58;-7.14698333333;112.663348333;3.2;-1;511;150.6;-128;49;M;683685;9209670
2023-09-02T20:48:36;-7.14750333333;112.663616667;3.4;-1;511;152.8;-128;49;M;683715;9209613
2023-09-02T20:48:47;-7.14767333333;112.663698333;3.4;-1;511;153.8;-128;49;M;683724;9209594
2023-09-02T20:49:58;-7.14859333333;112.66418;3.4;-1;511;155.8;-128;49;M;683776;9209492
2023-09-02T20:55:47;-7.15342;112.666383333;3.1;-1;511;151.5;-128;49;M;684018;9208957
2023-09-02T20:55:56;-7.15352;112.666435;3.1;-1;511;152.1;-128;49;M;684023;9208946
2023-09-02T20:56:47;-7.1542;112.66681;3.1;-1;511;152.7;-128;49;M;684065;9208871
2023-09-02T20:58:07;-7.15517833333;112.667338333;2.9;-1;511;149.7;-128;49;M;684123;9208762
2023-09-02T20:59:37;-7.156215;112.667988333;3;-1;511;149.2;-128;49;M;684194;9208647
2023-09-02T21:00:07;-7.15659166667;112.668226667;3;-1;511;147.8;-128;49;M;684220;9208606
2023-09-02T21:00:46;-7.157055;112.668526667;3;-1;511;147.3;-128;49;M;684253;9208554
2023-09-02T21:02:07;-7.158025;112.669166667;3.1;-1;511;146.9;-128;49;M;684323;9208447
2023-09-02T21:02:27;-7.15825833333;112.669311667;3;-1;511;146.4;-128;49;M;684339;9208421
2023-09-02T21:02:37;-7.15837;112.669386667;3.1;-1;511;146.1;-128;49;M;684348;9208409
2023-09-02T21:03:57;-7.15931333333;112.670041667;3;-1;511;142.6;-128;49;M;684420;9208304
2023-09-02T21:05:28;-7.16032166667;112.670875;3.1;-1;511;140.7;-128;49;M;684511;9208192
2023-09-02T21:06:28;-7.161005;112.671448333;3.1;-1;511;138.7;-128;49;M;684574;9208116
2023-09-02T21:06:47;-7.161225;112.671643333;3.2;-1;511;139.2;-128;49;M;684596;9208092
2023-09-02T21:08:28;-7.16233833333;112.672593333;3.1;-1;511;140.2;-128;49;M;684700;9207968
2023-09-02T21:09:18;-7.162885;112.673081667;3.1;-1;511;138.2;-128;49;M;684754;9207908
2023-09-02T21:11:28;-7.16435;112.674303333;3.2;-1;511;140.4;-128;49;M;684888;9207745
2023-09-02T21:11:57;-7.16469333333;112.674573333;3.3;-1;511;140.6;-128;49;M;684918;9207707
2023-09-02T21:12:28;-7.16506;112.674865;3.3;-1;511;143.4;-128;49;M;684950;9207667
2023-09-02T21:12:56;-7.16539166667;112.675115;3.2;-1;511;148.3;-128;49;M;684977;9207630
2023-09-02T21:16:37;-7.16833333333;112.676828333;3.3;-1;511;149.6;-128;49;M;685166;9207304
2023-09-02T21:19:07;-7.17035333333;112.678001667;3.2;-1;511;150.2;-128;49;M;685294;9207080
2023-09-02T21:20:46;-7.17151666667;112.678626667;2.6;-1;511;153.1;-128;49;M;685363;9206951
2023-09-02T21:21:27;-7.17194;112.678826667;2.4;-1;511;156.8;-128;49;M;685385;9206904
2023-09-02T21:21:57;-7.17223;112.678943333;2.3;-1;511;158.2;-128;49;M;685398;9206872
2023-09-02T21:24:27;-7.174105;112.680061667;3.9;-1;511;141.7;-128;49;M;685520;9206664
2023-09-02T21:25:06;-7.17466333333;112.680518333;4.3;-1;511;139.5;-128;49;M;685571;9206602
2023-09-02T21:25:16;-7.17481333333;112.680651667;4.3;-1;511;138.3;-128;49;M;685585;9206586
2023-09-02T21:25:27;-7.17499166667;112.680813333;4.4;-1;511;137.8;-128;49;M;685603;9206566
2023-09-02T21:25:48;-7.17530166667;112.681101667;4.6;-1;511;136.7;-128;49;M;685635;9206531
2023-09-02T21:25:57;-7.17545833333;112.68125;4.7;-1;511;136.1;-128;49;M;685651;9206514
2023-09-02T21:26:17;-7.17577333333;112.681558333;4.8;-1;511;135.9;-128;49;M;685685;9206479
2023-09-02T21:26:27;-7.17593333333;112.681716667;4.9;-1;511;135.5;-128;49;M;685702;9206461
2023-09-02T21:26:48;-7.176265;112.682041667;4.9;-1;511;135.6;-128;49;M;685738;9206424
2023-09-02T21:26:58;-7.17642833333;112.682208333;5.1;-1;511;135.1;-128;49;M;685757;9206406
2023-09-02T21:27:06;-7.17656333333;112.682343333;5.1;-1;511;135.1;-128;49;M;685771;9206391
2023-09-02T21:27:17;-7.17676833333;112.682548333;5.1;-1;511;135.1;-128;49;M;685794;9206369
2023-09-02T21:27:27;-7.17693666667;112.682721667;5.1;-1;511;134.8;-128;49;M;685813;9206350
2023-09-02T21:27:58;-7.17744;112.683231667;5.3;-1;511;134.1;-128;49;M;685869;9206294
2023-09-02T21:28:06;-7.17757333333;112.683368333;5.4;-1;511;133.9;-128;49;M;685884;9206279
2023-09-02T21:29:27;-7.17904833333;112.684853333;5.5;-1;511;135.4;-128;49;M;686048;9206115
2023-09-02T21:30:06;-7.17975833333;112.685551667;5.5;-1;511;134.8;-128;49;M;686124;9206037
2023-09-02T21:30:27;-7.18017;112.685948333;5.7;-1;511;135.6;-128;49;M;686168;9205991
2023-09-02T21:30:36;-7.18036;112.686135;5.8;-1;511;134.7;-128;49;M;686189;9205970
2023-09-02T21:30:58;-7.18074333333;112.686508333;5.7;-1;511;137;-128;49;M;686230;9205927
2023-09-02T21:31:06;-7.1809;112.686665;5.7;-1;511;136.7;-128;49;M;686247;9205910
2023-09-02T21:31:27;-7.18132333333;112.687063333;5.7;-1;511;136.4;-128;49;M;686291;9205863
2023-09-02T21:31:36;-7.18151333333;112.687248333;5.7;-1;511;137;-128;49;M;686311;9205842
2023-09-02T21:31:58;-7.18190166667;112.68761;5.7;-1;511;138;-128;49;M;686351;9205799
2023-09-02T21:32:17;-7.18229666667;112.687961667;5.6;-1;511;138.4;-128;49;M;686390;9205755
2023-09-02T21:32:46;-7.182825;112.688425;5.4;-1;511;140.1;-128;49;M;686441;9205696
2023-09-02T21:33:17;-7.18343166667;112.688918333;5.2;-1;511;142.8;-128;49;M;686495;9205629
2023-09-02T21:34:08;-7.18439833333;112.689598333;4.9;-1;511;146.2;-128;49;M;686570;9205522
2023-09-02T21:34:17;-7.18458833333;112.689726667;4.8;-1;511;146.6;-128;49;M;686584;9205501
2023-09-02T21:34:46;-7.185115;112.69007;4.7;-1;511;147.3;-128;49;M;686621;9205442
2023-09-02T21:35:17;-7.18570666667;112.690446667;4.7;-1;511;149;-128;49;M;686663;9205377
2023-09-02T21:35:38;-7.18607666667;112.690671667;4.6;-1;511;150.1;-128;49;M;686687;9205336
2023-09-02T21:36:38;-7.18717166667;112.691281667;4.4;-1;511;150.6;-128;49;M;686754;9205214
2023-09-02T21:37:58;-7.18863;112.691833333;3.9;-1;511;171.5;-128;49;M;686815;9205053
2023-09-02T21:38:58;-7.18959166667;112.691746667;3.1;-1;511;201.6;-128;49;M;686805;9204947
2023-09-02T21:39:17;-7.18983833333;112.69161;2.9;-1;511;212.4;-128;49;M;686789;9204919
2023-09-02T21:40:27;-7.19032333333;112.690948333;2.4;-1;511;254.9;-128;49;M;686716;9204866
2023-09-02T21:41:17;-7.19032833333;112.690401667;2.3;-1;511;282.1;-128;49;M;686656;9204866
2023-09-02T21:41:36;-7.19028;112.690208333;2.3;-1;511;286.9;-128;49;M;686635;9204871
2023-09-02T21:42:36;-7.189965;112.689596667;2.6;-1;511;303.7;-128;49;M;686567;9204906
2023-09-02T21:43:17;-7.189675;112.689203333;2.4;-1;511;309.5;-128;49;M;686524;9204938
2023-09-02T21:44:07;-7.18931833333;112.688803333;2.3;-1;511;312.2;-128;49;M;686480;9204978
2023-09-02T21:44:36;-7.18912666667;112.688588333;2.2;-1;511;311.8;-128;49;M;686456;9204999
2023-09-02T21:45:36;-7.18872833333;112.688136667;2;-1;511;306.5;-128;49;M;686406;9205044
2023-09-02T21:45:48;-7.18863666667;112.688053333;2;-1;511;318.1;-128;49;M;686397;9205054
2023-09-02T21:46:57;-7.18816166667;112.687683333;1.6;-1;511;322.6;-128;49;M;686356;9205106
2023-09-02T21:47:16;-7.18807333333;112.687616667;1.2;-1;511;320.6;-128;49;M;686349;9205116
2023-09-02T21:47:37;-7.18800166667;112.687575;0.8;-1;511;322.8;-128;49;M;686345;9205124
2023-09-02T21:47:47;-7.18798833333;112.68757;0.8;-1;511;319.3;-128;49;M;686344;9205126
2023-09-02T21:48:27;-7.187885;112.687516667;0.7;-1;511;324.5;-128;49;M;686338;9205137
2023-09-02T21:49:07;-7.18775166667;112.687465;0.7;-1;511;19.6;-128;49;M;686333;9205152
2023-09-02T21:49:16;-7.18772666667;112.687468333;0.8;-1;511;23.1;-128;49;M;686333;9205155
2023-09-02T21:49:27;-7.18769166667;112.687483333;0.6;-1;511;21.8;-128;49;M;686335;9205158
2023-09-02T21:49:37;-7.187665;112.687488333;0.6;-1;511;14.8;-128;49;M;686335;9205161
2023-09-02T21:49:47;-7.18764166667;112.687501667;0.6;-1;511;17.7;-128;49;M;686337;9205164
2023-09-02T21:49:57;-7.18761666667;112.68751;0.5;-1;511;11.1;-128;49;M;686338;9205167
2023-09-02T21:50:16;-7.18758333333;112.687538333;0;-1;511;359.2;-128;49;M;686341;9205170
2023-09-02T21:50:27;-7.187565;112.68753;0;-1;511;332;-128;49;M;686340;9205172
2023-09-02T21:50:37;-7.187535;112.687505;0;-1;511;329.8;-128;49;M;686337;9205176
2023-09-02T21:51:08;-7.18749;112.687471667;0;-1;511;345.7;-128;49;M;686333;9205181
2023-09-02T21:51:16;-7.187475;112.68746;0.3;-1;511;349;-128;49;M;686332;9205182
2023-09-02T21:51:26;-7.18747166667;112.687451667;0;-1;511;349;-128;49;M;686331;9205183
2023-09-02T21:51:37;-7.18746833333;112.68745;0;-1;511;349;-128;49;M;686331;9205183
2023-09-02T21:51:47;-7.18747;112.68745;0;-1;511;349;-128;49;M;686331;9205183
2023-09-02T21:51:57;-7.18746833333;112.68745;0;-1;511;349;-128;49;M;686331;9205183
2023-09-02T21:52:08;-7.18747;112.687446667;0;-1;511;349;-128;49;M;686331;9205183
2023-09-02T21:52:26;-7.18746833333;112.687445;0;-1;511;349;-128;49;M;686330;9205183
2023-09-02T21:52:37;-7.18746666667;112.687443333;0;-1;511;349;-128;49;M;686330;9205183
2023-09-02T21:52:47;-7.187465;112.687443333;0;-1;511;349;-128;49;M;686330;9205184
2023-09-02T21:53:08;-7.187465;112.687445;0;-1;511;349;-128;49;M;686330;9205184
2023-09-02T21:53:16;-7.187465;112.687445;0;-1;511;349;-128;49;M;686330;9205184
2023-09-02T21:53:26;-7.187465;112.687446667;0;-1;511;349;-128;49;M;686331;9205184
2023-09-02T21:54:16;-7.18746333333;112.687441667;0;-1;511;349;-128;49;M;686330;9205184
2023-09-02T21:54:57;-7.18746166667;112.687435;0;-1;511;349;-128;49;M;686329;9205184
2023-09-02T21:55:08;-7.18746;112.687435;0;-1;511;349;-128;49;M;686329;9205184
2023-09-02T21:55:16;-7.18746;112.687435;0;-1;511;349;-128;49;M;686329;9205184
2023-09-02T21:55:27;-7.18746;112.687435;0;-1;511;349;-128;49;M;686329;9205184
2023-09-02T21:57:33;-7.187455;112.68744;0;-1;511;349;-128;49;M;686330;9205185
2023-09-02T22:00:33;-7.18745833333;112.687451667;0;-1;511;349;-128;49;M;686331;9205184
2023-09-02T22:09:34;-7.18746;112.687453333;0;-1;511;349;-128;49;M;686331;9205184
2023-09-02T22:15:34;-7.18746;112.68745;0;-1;511;349;-128;49;M;686331;9205184
2023-09-02T22:18:33;-7.18746;112.687446667;0;-1;511;349;-128;49;M;686331;9205184
2023-09-02T22:30:33;-7.18741833333;112.687366667;0;-1;511;349;-128;49;M;686322;9205189
2023-09-02T22:33:33;-7.18741666667;112.687406667;0;-1;511;349;-128;49;M;686326;9205189
2023-09-02T22:36:34;-7.18740166667;112.687473333;0;-1;511;349;-128;49;M;686334;9205191
2023-09-02T22:39:33;-7.18739;112.687475;0;-1;511;349;-128;49;M;686334;9205192
2023-09-02T22:45:34;-7.18738666667;112.68746;0;-1;511;349;-128;49;M;686332;9205192
2023-09-02T22:48:33;-7.187435;112.68745;0;-1;511;349;-128;49;M;686331;9205187
2023-09-02T22:51:34;-7.18745166667;112.68742;0;-1;511;349;-128;49;M;686328;9205185
2023-09-02T22:54:33;-7.18743666667;112.687413333;0;-1;511;349;-128;49;M;686327;9205187
2023-09-02T22:57:33;-7.18743333333;112.68742;0;-1;511;349;-128;49;M;686328;9205187
2023-09-02T23:03:33;-7.18743666667;112.687431667;0;-1;511;349;-128;49;M;686329;9205187
2023-09-02T23:09:33;-7.18742833333;112.68746;0;-1;511;349;-128;49;M;686332;9205188
2023-09-02T23:12:33;-7.187425;112.687461667;0;-1;511;59.2;-128;49;M;686332;9205188
2023-09-02T23:15:34;-7.18741;112.687485;0;-1;511;59.2;-128;49;M;686335;9205190
2023-09-02T23:18:34;-7.1874;112.687503333;0;-1;511;13.5;-128;49;M;686337;9205191
2023-09-02T23:21:33;-7.18739166667;112.687488333;0;-1;511;13.5;-128;49;M;686335;9205192
2023-09-02T23:27:33;-7.18743333333;112.687478333;0;-1;511;13.5;-128;49;M;686334;9205187
2023-09-02T23:33:33;-7.18743833333;112.687416667;0;-1;511;233.4;-128;49;M;686327;9205187
2023-09-02T23:39:34;-7.18749166667;112.68744;0;-1;511;249.6;-128;49;M;686330;9205181
2023-09-02T23:56:45;-7.18742;112.687321667;0;-1;511;249.6;-128;49;M;686317;9205189
2023-09-02T23:57:27;-7.18752833333;112.687421667;0;-1;511;249.6;-128;49;M;686328;9205177
2023-09-02T23:58:06;-7.18754166667;112.687411667;0;-1;511;249.6;-128;49;M;686327;9205175
2023-09-02T23:58:27;-7.18753666667;112.687413333;0;-1;511;249.6;-128;49;M;686327;9205176
2023-09-02T23:58:36;-7.187535;112.687416667;0;-1;511;249.6;-128;49;M;686327;9205176
2023-09-02T23:58:57;-7.187525;112.687418333;0;-1;511;249.6;-128;49;M;686327;9205177
2023-09-02T23:59:06;-7.18752166667;112.687418333;0;-1;511;249.6;-128;49;M;686327;9205177
2023-09-02T23:59:17;-7.18751333333;112.687418333;0;-1;511;249.6;-128;49;M;686327;9205178
2023-09-02T23:59:27;-7.18750833333;112.687418333;0;-1;511;249.6;-128;49;M;686327;9205179
2023-09-02T23:59:57;-7.187495;112.68742;0;-1;511;249.6;-128;49;M;686328;9205180
2023-09-03T00:00:06;-7.18749333333;112.687421667;0;-1;511;249.6;-128;49;M;686328;9205180
2023-09-03T00:02:26;-7.18746833333;112.687421667;0;-1;511;249.6;-128;49;M;686328;9205183
2023-09-03T00:05:25;-7.18747;112.687423333;0;-1;511;249.6;-128;49;M;686328;9205183
2023-09-03T00:08:26;-7.18746333333;112.687423333;0;-1;511;249.6;-128;49;M;686328;9205184
2023-09-03T00:11:26;-7.18746166667;112.687425;0;-1;511;249.6;-128;49;M;686328;9205184
2023-09-03T00:14:25;-7.18745833333;112.687423333;0;-1;511;249.6;-128;49;M;686328;9205184
2023-09-03T00:17:26;-7.18746333333;112.68743;0;-1;511;249.6;-128;49;M;686329;9205184
2023-09-03T00:32:25;-7.18745666667;112.687433333;0;-1;511;249.6;-128;49;M;686329;9205184
2023-09-03T00:35:25;-7.18745333333;112.687431667;0;-1;511;249.6;-128;49;M;686329;9205185
2023-09-03T00:38:26;-7.18743166667;112.68743;0;-1;511;203.7;-128;49;M;686329;9205187
2023-09-03T00:41:25;-7.18747166667;112.687443333;0;-1;511;203.7;-128;49;M;686330;9205183
2023-09-03T00:44:26;-7.18746833333;112.687433333;0;-1;511;203.7;-128;49;M;686329;9205183
2023-09-03T00:50:26;-7.187465;112.687438333;0;-1;511;203.7;-128;49;M;686330;9205184
2023-09-03T00:56:26;-7.18746666667;112.687448333;0;-1;511;203.7;-128;49;M;686331;9205183
2023-09-03T01:02:26;-7.18746166667;112.687443333;0;-1;511;265.9;-128;49;M;686330;9205184
2023-09-03T01:05:25;-7.18746166667;112.687435;0;-1;511;265.9;-128;49;M;686329;9205184
2023-09-03T01:14:25;-7.18748166667;112.687458333;0;-1;511;353.5;-128;49;M;686332;9205182
2023-09-03T01:17:26;-7.18745666667;112.687453333;0;-1;511;353.5;-128;49;M;686331;9205184
2023-09-03T01:20:25;-7.18746333333;112.687448333;0;-1;511;353.5;-128;49;M;686331;9205184
2023-09-03T01:23:25;-7.18745833333;112.687475;0;-1;511;107.1;-128;49;M;686334;9205184
2023-09-03T01:29:25;-7.18749;112.687455;0;-1;511;107.1;-128;49;M;686332;9205181
2023-09-03T01:32:25;-7.18748;112.687455;0;-1;511;107.1;-128;49;M;686332;9205182
2023-09-03T01:44:26;-7.18748833333;112.687416667;0;-1;511;88.2;-128;49;M;686327;9205181
2023-09-03T01:50:25;-7.18746;112.687351667;0;-1;511;307.6;-128;49;M;686320;9205184
2023-09-03T01:56:25;-7.18752666667;112.687446667;0;-1;511;0;-128;49;M;686331;9205177
2023-09-03T01:59:25;-7.18743166667;112.687453333;0;-1;511;307.6;-128;49;M;686331;9205187
2023-09-03T02:02:25;-7.18755333333;112.68743;0;-1;511;22.1;-128;49;M;686329;9205174
2023-09-03T02:05:26;-7.187505;112.687471667;0;-1;511;22.1;-128;49;M;686333;9205179
2023-09-03T02:08:25;-7.18743833333;112.68755;0;-1;511;260.4;-128;49;M;686342;9205186
2023-09-03T02:14:26;-7.18746333333;112.687431667;0;-1;511;260.4;-128;49;M;686329;9205184
2023-09-03T02:20:25;-7.18738;112.68749;0;-1;511;260.4;-128;49;M;686335;9205193
2023-09-03T02:23:25;-7.18744666667;112.687488333;0;-1;511;27;-128;49;M;686335;9205186
2023-09-03T02:26:25;-7.18741833333;112.687445;0;-1;511;27;-128;49;M;686330;9205189
2023-09-03T02:38:26;-7.18745;112.687475;0;-1;511;27;-128;49;M;686334;9205185
2023-09-03T02:41:25;-7.18746;112.687465;0;-1;511;27;-128;49;M;686333;9205184
2023-09-03T03:08:25;-7.18745333333;112.687428333;0;-1;511;27;-128;49;M;686329;9205185
2023-09-03T03:29:26;-7.18745333333;112.687451667;0;-1;511;27;-128;49;M;686331;9205185
2023-09-03T03:35:25;-7.18743833333;112.68747;0;-1;511;210.6;-128;49;M;686333;9205187
2023-09-03T03:35:49;-7.18747166667;112.687383333;3.7;-1;511;247.8;-128;49;M;686324;9205183
2023-09-03T03:35:59;-7.18743;112.687375;0;-1;511;261.5;-128;49;M;686323;9205187
2023-09-03T03:36:09;-7.18744166667;112.687381667;0;-1;511;261.5;-128;49;M;686323;9205186
2023-09-03T03:36:29;-7.18747;112.68744;0;-1;511;261.5;-128;49;M;686330;9205183
2023-09-03T03:36:39;-7.187465;112.687433333;0;-1;511;261.5;-128;49;M;686329;9205184
2023-09-03T03:36:49;-7.18746;112.687411667;0;-1;511;261.5;-128;49;M;686327;9205184
2023-09-03T03:37:09;-7.18745;112.68738;0;-1;511;261.5;-128;49;M;686323;9205185
2023-09-03T03:37:29;-7.18743833333;112.687366667;0;-1;511;261.5;-128;49;M;686322;9205187
2023-09-03T03:37:39;-7.18747;112.687435;0;-1;511;335.1;-128;49;M;686329;9205183
2023-09-03T03:39:37;-7.18747166667;112.687476667;0;-1;511;261.5;-128;49;M;686334;9205183
2023-09-03T03:42:38;-7.18739;112.687468333;0;-1;511;261.5;-128;49;M;686333;9205192
2023-09-03T03:57:38;-7.18745833333;112.687463333;0;-1;511;261.5;-128;49;M;686332;9205184
2023-09-03T04:06:37;-7.18745666667;112.687476667;0;-1;511;72.5;-128;49;M;686334;9205184
2023-09-03T04:21:38;-7.18746166667;112.687425;0;-1;511;72.5;-128;49;M;686328;9205184
2023-09-03T04:24:38;-7.187455;112.68752;0;-1;511;72.5;-128;49;M;686339;9205185
2023-09-03T04:27:37;-7.187405;112.687438333;0;-1;511;108.3;-128;49;M;686330;9205190
2023-09-03T04:33:37;-7.18743833333;112.687498333;0;-1;511;81.3;-128;49;M;686336;9205186
2023-09-03T04:36:38;-7.18742833333;112.687493333;0;-1;511;81.3;-128;49;M;686336;9205188
2023-09-03T04:39:37;-7.18743166667;112.687496667;0;-1;511;81.3;-128;49;M;686336;9205187
2023-09-03T04:57:37;-7.187445;112.68746;0;-1;511;239.6;-128;49;M;686332;9205186
2023-09-03T05:00:38;-7.187455;112.68744;0;-1;511;239.6;-128;49;M;686330;9205185
2023-09-03T05:03:37;-7.18743166667;112.687398333;0;-1;511;239.6;-128;49;M;686325;9205187
2023-09-03T05:06:38;-7.18745833333;112.687473333;0;-1;511;239.6;-128;49;M;686334;9205184
2023-09-03T05:12:37;-7.18746;112.687458333;0;-1;511;239.6;-128;49;M;686332;9205184
2023-09-03T05:15:38;-7.18741666667;112.6875;0;-1;511;239.6;-128;49;M;686337;9205189
2023-09-03T05:18:38;-7.18745166667;112.687445;0;-1;511;47.6;-128;49;M;686330;9205185
2023-09-03T05:24:37;-7.18747666667;112.687473333;0;-1;511;145.4;-128;49;M;686334;9205182
2023-09-03T05:33:38;-7.187465;112.687458333;0;-1;511;145.4;-128;49;M;686332;9205184
2023-09-03T05:36:37;-7.18751;112.687465;0;-1;511;145.4;-128;49;M;686333;9205179
2023-09-03T05:39:38;-7.18749666667;112.687445;0;-1;511;145.4;-128;49;M;686330;9205180
2023-09-03T05:42:37;-7.18749;112.687443333;0;-1;511;145.4;-128;49;M;686330;9205181
2023-09-03T05:54:37;-7.18745833333;112.687438333;0;-1;511;164.3;-128;49;M;686330;9205184
2023-09-03T06:24:39;-7.187425;112.687438333;0;-1;511;90.3;-128;49;M;686330;9205188
2023-09-03T06:33:40;-7.18742333333;112.687408333;0;-1;511;90.3;-128;49;M;686326;9205188
2023-09-03T06:39:39;-7.187355;112.687381667;0;-1;511;194.3;-128;49;M;686323;9205196
2023-09-03T06:42:39;-7.187455;112.687468333;0;-1;511;174.7;-128;49;M;686333;9205185
2023-09-03T06:45:39;-7.18740666667;112.687486667;0;-1;511;288.7;-128;49;M;686335;9205190
2023-09-03T06:48:39;-7.18737833333;112.687508333;0;-1;511;288.7;-128;49;M;686337;9205193
2023-09-03T06:51:39;-7.18740333333;112.687446667;0;-1;511;288.7;-128;49;M;686331;9205190
2023-09-03T06:57:39;-7.18751333333;112.68743;0;-1;511;288.7;-128;49;M;686329;9205178
2023-09-03T07:00:39;-7.18753666667;112.687406667;0;-1;511;288.7;-128;49;M;686326;9205176
2023-09-03T07:03:39;-7.18750833333;112.687411667;0;-1;511;288.7;-128;49;M;686327;9205179
2023-09-03T07:06:39;-7.18741666667;112.687488333;0;-1;511;288.7;-128;49;M;686335;9205189
2023-09-03T07:09:39;-7.18746666667;112.687488333;0;-1;511;288.7;-128;49;M;686335;9205183
2023-09-03T07:12:40;-7.18748333333;112.687416667;0;-1;511;288.7;-128;49;M;686327;9205182
2023-09-03T07:15:40;-7.187435;112.687421667;0;-1;511;288.7;-128;49;M;686328;9205187
2023-09-03T07:17:21;-7.18744333333;112.687405;0;-1;511;239.1;-128;49;M;686326;9205186
2023-09-03T07:17:41;-7.18745666667;112.687378333;0;-1;511;239.1;-128;49;M;686323;9205185
2023-09-03T07:18:01;-7.18746666667;112.68735;0;-1;511;0;-128;49;M;686320;9205183
2023-09-03T07:18:12;-7.18746666667;112.687343333;0;-1;511;239.1;-128;49;M;686319;9205183
2023-09-03T07:18:21;-7.18746833333;112.687338333;0;-1;511;239.1;-128;49;M;686319;9205183
2023-09-03T07:18:30;-7.18746833333;112.687335;0;-1;511;239.1;-128;49;M;686318;9205183
2023-09-03T07:18:40;-7.18747166667;112.68733;0;-1;511;239.1;-128;49;M;686318;9205183
2023-09-03T07:18:52;-7.18748;112.687396667;0;-1;511;335.1;-128;49;M;686325;9205182
2023-09-03T07:19:01;-7.18748333333;112.6874;0;-1;511;335.1;-128;49;M;686325;9205182
2023-09-03T07:19:12;-7.18749;112.687413333;0;-1;511;335.1;-128;49;M;686327;9205181
2023-09-03T07:21:11;-7.18744833333;112.68731;0;-1;511;239.1;-128;49;M;686316;9205185
2023-09-03T07:24:10;-7.18739833333;112.687348333;0;-1;511;246.6;-128;49;M;686320;9205191
2023-09-03T07:27:10;-7.18736666667;112.687278333;0;-1;511;166.4;-128;49;M;686312;9205195
2023-09-03T07:30:10;-7.18749666667;112.687416667;0;-1;511;166.4;-128;49;M;686327;9205180
2023-09-03T07:33:11;-7.18748833333;112.687436667;0;-1;511;166.4;-128;49;M;686330;9205181
2023-09-03T07:34:15;-7.18748833333;112.687433333;102.3;-1;511;360;-128;49;M;686329;9205181
2023-09-03T07:34:25;-7.18748666667;112.687433333;0;-1;511;166.4;-128;49;M;686329;9205181
2023-09-03T07:34:45;-7.18748333333;112.687433333;0;-1;511;166.4;-128;49;M;686329;9205182
2023-09-03T07:34:55;-7.18748166667;112.687435;0;-1;511;166.4;-128;49;M;686329;9205182
2023-09-03T07:35:06;-7.18750166667;112.687393333;0.1;-1;511;335.1;-128;49;M;686325;9205180
2023-09-03T07:35:15;-7.18749666667;112.687395;0;-1;511;335.1;-128;49;M;686325;9205180
2023-09-03T07:35:25;-7.1875;112.687393333;0;-1;511;335.1;-128;49;M;686325;9205180
2023-09-03T07:35:35;-7.18749833333;112.687393333;0;-1;511;335.1;-128;49;M;686325;9205180
2023-09-03T07:35:45;-7.18749666667;112.687395;0;-1;511;335.1;-128;49;M;686325;9205180
2023-09-03T07:35:55;-7.18749833333;112.68739;0;-1;511;335.1;-128;49;M;686324;9205180
2023-09-03T07:36:06;-7.187375;112.687266667;0;-1;511;166.4;-128;49;M;686311;9205194
2023-09-03T07:38:05;-7.18743166667;112.687328333;0;-1;511;166.4;-128;49;M;686318;9205187
2023-09-03T07:41:06;-7.18744666667;112.687416667;0;-1;511;166.4;-128;49;M;686327;9205186
2023-09-03T07:47:05;-7.18744166667;112.687426667;0;-1;511;166.4;-128;49;M;686328;9205186
2023-09-03T07:50:05;-7.18747;112.687388333;0;-1;511;204.3;-128;49;M;686324;9205183
2023-09-03T07:56:05;-7.18743166667;112.687443333;0;-1;511;204.3;-128;49;M;686330;9205187
2023-09-03T07:59:05;-7.18746333333;112.687438333;0;-1;511;204.3;-128;49;M;686330;9205184
2023-09-03T08:02:06;-7.18742666667;112.687468333;0;-1;511;247.3;-128;49;M;686333;9205188
2023-09-03T08:05:05;-7.18740166667;112.687486667;0;-1;511;247.3;-128;49;M;686335;9205191
2023-09-03T08:11:06;-7.18747;112.687421667;0;-1;511;57.3;-128;49;M;686328;9205183
2023-09-03T08:17:05;-7.18752333333;112.687411667;0;-1;511;26.4;-128;49;M;686327;9205177
2023-09-03T08:26:06;-7.18747333333;112.68742;0;-1;511;26.4;-128;49;M;686328;9205183
2023-09-03T08:32:05;-7.18747666667;112.687416667;0;-1;511;26.4;-128;49;M;686327;9205182
2023-09-03T08:35:05;-7.18747166667;112.68742;0;-1;511;26.4;-128;49;M;686328;9205183
2023-09-03T08:38:05;-7.18745666667;112.687428333;0;-1;511;26.4;-128;49;M;686329;9205184
2023-09-03T08:41:06;-7.18751666667;112.687378333;0;-1;511;26.4;-128;49;M;686323;9205178
